Career Name,Basic Job Description,Duties,Activities,Skills,Abilities,Knowledge,knowledge
Able Seamen,"Stand watch at bow or on wing of bridge to look for obstructions in path of vessel. Measure water depth. Turn wheel on bridge or use emergency equipment as directed by mate. Break out, rig, overhaul, and store cargo-handling gear, stationary rigging, and running gear. Chip rust from and paint deck or ship's structure. Must hold government-issued certification. Must hold certification when working aboard liquid-carrying vessels.","1) Measures depth of water in shallow or unfamiliar waters, using leadline, and telephones or shouts information to bridge.2) Breaks out, rigs, overhauls, and stows cargo-handling gear, stationary rigging, and running gear. 3) Stands watch from bow of ship or wing of bridge to look for obstruction in path of ship.4) Steers ship and maintains visual communication with other ships.5) Steers ship under direction of ship's commander or navigating officer, or directs helmsman to steer, following designated course. 6) Overhauls lifeboats and lifeboat gear, and lowers or raises lifeboats with winch or falls.7) Paints and chips rust on deck or superstructure of ship.8) Stands by wheel when ship is on automatic pilot and verifies accuracy of course by comparing with magnetic compass. 9) Gives directions to crew engaged in cleaning wheelhouse and quarter deck.10) Maintains ship's log while in port, and stands gangway watch to prevent unauthorized persons from boarding ship.11) Stows or removes cargo from ship's hold.","1) Performing General Physical Activities -- Performing physical activities that require considerable use of your arms and legs and moving your whole body, such as climbing, lifting, balancing, walking, stooping, and handling of materials. 2) Operating Vehicles, Mechanized Devices, or Equipment -- Running, maneuvering, navigating, or driving vehicles or mechanized equipment, such as forklifts, passenger vehicles, aircraft, or water craft.3) Monitor Processes, Materials, or Surroundings -- Monitoring and reviewing information from materials, events, or the environment, to detect or assess problems.4) Getting Information -- Observing, receiving, and otherwise obtaining information from all relevant sources.5) Handling and Moving Objects -- Using hands and arms in handling, installing, positioning, and moving materials, and manipulating things. 6) Communicating with Supervisors, Peers, or Subordinates -- Providing information to supervisors, co-workers, and subordinates by telephone, in written form, e-mail, or in person.7) Documenting/Recording Information -- Entering, transcribing, recording, storing, or maintaining information in written or electronic/magnetic form.8) Identifying Objects, Actions, and Events -- Identifying information by categorizing, estimating, recognizing differences or similarities, and detecting changes in circumstances or events.9) Inspecting Equipment, Structures, or Material -- Inspecting equipment, structures, or materials to identify the cause of errors or other problems or defects.","1) Equipment Selection -- Determining the kind of tools and equipment needed to do a job. 2) Operation Monitoring -- Watching gauges, dials, or other indicators to make sure a machine is working properly.3) Operation and Control -- Controlling operations of equipment or systems.4) Monitoring -- Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action.5) Coordination -- Adjusting actions in relation to others' actions.","1) Oral Expression -- The ability to communicate information and ideas in speaking so others will understand. 2) Far Vision -- The ability to see details at a distance.3) Control Precision -- The ability to quickly and repeatedly adjust the controls of a machine or a vehicle to exact positions.4) Spatial Orientation -- The ability to know your location in relation to the environment or to know where other objects are in relation to you.5) Oral Comprehension -- The ability to listen to and understand information and ideas presented through spoken words and sentences. 6) Selective Attention -- The ability to concentrate on a task over a period of time without being distracted.7) Arm-Hand Steadiness -- The ability to keep your hand and arm steady while moving your arm or while holding your arm and hand in one position.8) Static Strength -- The ability to exert maximum muscle force to lift, push, pull, or carry objects.9) Speech Clarity -- The ability to speak clearly so others can understand you.",,"Transportation -- Knowledge of principles and methods for moving people or goods by air, rail, sea, or road, including the relative costs and benefits.Mechanical -- Knowledge of machines and tools, including their designs, uses, repair, and maintenance."
Accountants,"Analyze financial information and prepare financial reports to determine or maintain record of assets, liabilities, profit and loss, tax liability, or other financial activities within an organization.","1) Prepare, examine, and analyze accounting records, financial statements, and other financial reports to assess accuracy, completeness, and conformance to reporting and procedural standards.2) Compute taxes owed and prepare tax returns, ensuring compliance with payment, reporting and other tax requirements. 3) Analyze business operations, trends, costs, revenues, financial commitments, and obligations, to project future revenues and expenses or to provide advice.4) Report to management regarding the finances of establishment.5) Establish tables of accounts, and assign entries to proper accounts. 6) Develop, maintain, and analyze budgets, preparing periodic reports that compare budgeted costs to actual costs.7) Develop, implement, modify, and document recordkeeping and accounting systems, making use of current computer technology.8) Prepare forms and manuals for accounting and bookkeeping personnel, and direct their work activities. 9) Survey operations to ascertain accounting needs and to recommend, develop, and maintain solutions to business and financial problems.10) Work as Internal Revenue Service agents.11) Advise management about issues such as resource utilization, tax strategies, and the assumptions underlying budget forecasts.","1) Interacting With Computers -- Using computers and computer systems (including hardware and software) to program, write software, set up functions, enter data, or process information. 2) Analyzing Data or Information -- Identifying the underlying principles, reasons, or facts of information by breaking down information or data into separate parts.3) Processing Information -- Compiling, coding, categorizing, calculating, tabulating, auditing, or verifying information or data.4) Getting Information -- Observing, receiving, and otherwise obtaining information from all relevant sources.5) Documenting/Recording Information -- Entering, transcribing, recording, storing, or maintaining information in written or electronic/magnetic form. 6) Establishing and Maintaining Interpersonal Relationships -- Developing constructive and cooperative working relationships with others, and maintaining them over time.7) Organizing, Planning, and Prioritizing Work -- Developing specific goals and plans to prioritize, organize, and accomplish your work.8) Communicating with Supervisors, Peers, or Subordinates -- Providing information to supervisors, co-workers, and subordinates by telephone, in written form, e-mail, or in person.9) Making Decisions and Solving Problems -- Analyzing information and evaluating results to choose the best solution and solve problems.","1) Mathematics -- Using mathematics to solve problems. 2) Active Listening -- Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times.3) Critical Thinking -- Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems.4) Monitoring -- Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action.5) Judgment and Decision Making -- Considering the relative costs and benefits of potential actions to choose the most appropriate one. 6) Active Learning -- Understanding the implications of new information for both current and future problem-solving and decision-making.7) Reading Comprehension -- Understanding written sentences and paragraphs in work related documents.8) Systems Analysis -- Determining how a system should work and how changes in conditions, operations, and the environment will affect outcomes.9) Systems Evaluation -- Identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system.","1) Problem Sensitivity -- The ability to tell when something is wrong or is likely to go wrong. It does not involve solving the problem, only recognizing there is a problem. 2) Deductive Reasoning -- The ability to apply general rules to specific problems to produce answers that make sense.3) Oral Expression -- The ability to communicate information and ideas in speaking so others will understand.4) Written Expression -- The ability to communicate information and ideas in writing so others will understand.5) Information Ordering -- The ability to arrange things or actions in a certain order or pattern according to a specific rule or set of rules (e.g., patterns of numbers, letters, words, pictures, mathematical operations). 6) Mathematical Reasoning -- The ability to choose the right mathematical methods or formulas to solve a problem.7) Written Comprehension -- The ability to read and understand information and ideas presented in writing.8) Near Vision -- The ability to see details at close range (within a few feet of the observer).9) Speech Clarity -- The ability to speak clearly so others can understand you.",,
Accountants and Auditors,"Examine, analyze, and interpret accounting records for the purpose of giving advice or preparing statements. Install or advise on systems of recording costs or other financial and budgetary data.",,,,,,
Actors,"Play parts in stage, television, radio, video, or motion picture productions for entertainment, information, or instruction. Interpret serious or comic role by speech, gesture, and body movement to entertain or inform audience. May dance and sing.","1) Attend auditions and casting calls in order to audition for roles.2) Collaborate with other actors as part of an ensemble. 3) Learn about characters in scripts and their relationships to each other in order to develop role interpretations.4) Perform humorous and serious interpretations of emotions, actions, and situations, using body movements, facial expressions, and gestures.5) Portray and interpret roles, using speech, gestures, and body movements in order to entertain, inform, or instruct radio, film, television, or live audiences. 6) Sing and/or dance during dramatic or comedic performances.7) Study and rehearse roles from scripts in order to interpret, learn and memorize lines, stunts, and cues as directed.8) Work closely with directors, other actors, and playwrights to find the interpretation most suited to the role. 9) Manipulate strings, wires, rods, or fingers to animate puppets or dummies in synchronization with talking, singing, or recorded programs.10) Perform original and stock tricks of illusion to entertain and mystify audiences, occasionally including audience members as participants.11) Promote productions using means such as interviews about plays or movies.","1) Thinking Creatively -- Developing, designing, or creating new applications, ideas, relationships, systems, or products, including artistic contributions. 2) Performing for or Working Directly with the Public -- Performing for people or dealing directly with the public. This includes serving customers in restaurants and stores, and receiving clients or guests.3) Performing General Physical Activities -- Performing physical activities that require considerable use of your arms and legs and moving your whole body, such as climbing, lifting, balancing, walking, stooping, and handling of materials.4) Getting Information -- Observing, receiving, and otherwise obtaining information from all relevant sources.5) Communicating with Supervisors, Peers, or Subordinates -- Providing information to supervisors, co-workers, and subordinates by telephone, in written form, e-mail, or in person. 6) Communicating with Persons Outside Organization -- Communicating with people outside the organization, representing the organization to customers, the public, government, and other external sources. This information can be exchanged in person, in writing, or by telephone or e-mail.7) Judging the Qualities of Things, Services, or People -- Assessing the value, importance, or quality of things or people.8) Handling and Moving Objects -- Using hands and arms in handling, installing, positioning, and moving materials, and manipulating things.9) Interpreting the Meaning of Information for Others -- Translating or explaining what information means and how it can be used.","1) Speaking -- Talking to others to convey information effectively. 2) Monitoring -- Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action.3) Reading Comprehension -- Understanding written sentences and paragraphs in work related documents.4) Social Perceptiveness -- Being aware of others' reactions and understanding why they react as they do.5) Coordination -- Adjusting actions in relation to others' actions.","1) Oral Expression -- The ability to communicate information and ideas in speaking so others will understand. 2) Memorization -- The ability to remember information such as words, numbers, pictures, and procedures.3) Originality -- The ability to come up with unusual or clever ideas about a given topic or situation, or to develop creative ways to solve a problem.4) Speech Clarity -- The ability to speak clearly so others can understand you.5) Written Comprehension -- The ability to read and understand information and ideas presented in writing. 6) Fluency of Ideas -- The ability to come up with a number of ideas about a topic (the number of ideas is important, not their quality, correctness, or creativity).7) Oral Comprehension -- The ability to listen to and understand information and ideas presented through spoken words and sentences.8) Visualization -- The ability to imagine how something will look after it is moved around or when its parts are moved or rearranged.9) Near Vision -- The ability to see details at close range (within a few feet of the observer).",,"Fine Arts -- Knowledge of the theory and techniques required to compose, produce, and perform works of music, dance, visual arts, drama, and sculpture.English Language -- Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar."
Actuaries,"Analyze statistical data, such as mortality, accident, sickness, disability, and retirement rates and construct probability tables to forecast risk and liability for payment of future benefits. May ascertain premium rates required and cash reserves necessary to ensure payment of future benefits.","1) Ascertain premium rates required and cash reserves and liabilities necessary to ensure payment of future benefits.2) Analyze statistical information to estimate mortality, accident, sickness, disability, and retirement rates. 3) Design, review and help administer insurance, annuity and pension plans, determining financial soundness and calculating premiums.4) Collaborate with programmers, underwriters, accounts, claims experts, and senior management to help companies develop plans for new lines of business or improving existing business.5) Determine or help determine company policy, and explain complex technical matters to company executives, government officials, shareholders, policyholders, and/or the public. 6) Testify before public agencies on proposed legislation affecting businesses.7) Provide advice to clients on a contract basis, working as a consultant.8) Testify in court as expert witness or to provide legal evidence on matters such as the value of potential lifetime earnings of a person who is disabled or killed in an accident. 9) Construct probability tables for events such as fires, natural disasters, and unemployment, based on analysis of statistical data and other pertinent information.10) Determine policy contract provisions for each type of insurance.11) Manage credit and help price corporate security offerings.","1) Getting Information -- Observing, receiving, and otherwise obtaining information from all relevant sources. 2) Processing Information -- Compiling, coding, categorizing, calculating, tabulating, auditing, or verifying information or data.3) Analyzing Data or Information -- Identifying the underlying principles, reasons, or facts of information by breaking down information or data into separate parts.4) Interacting With Computers -- Using computers and computer systems (including hardware and software) to program, write software, set up functions, enter data, or process information.5) Identifying Objects, Actions, and Events -- Identifying information by categorizing, estimating, recognizing differences or similarities, and detecting changes in circumstances or events. 6) Making Decisions and Solving Problems -- Analyzing information and evaluating results to choose the best solution and solve problems.7) Updating and Using Relevant Knowledge -- Keeping up-to-date technically and applying new knowledge to your job.8) Organizing, Planning, and Prioritizing Work -- Developing specific goals and plans to prioritize, organize, and accomplish your work.9) Documenting/Recording Information -- Entering, transcribing, recording, storing, or maintaining information in written or electronic/magnetic form.","1) Mathematics -- Using mathematics to solve problems. 2) Active Learning -- Understanding the implications of new information for both current and future problem-solving and decision-making.3) Complex Problem Solving -- Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.4) Critical Thinking -- Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems.5) Active Listening -- Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. 6) Time Management -- Managing one's own time and the time of others.7) Reading Comprehension -- Understanding written sentences and paragraphs in work related documents.8) Judgment and Decision Making -- Considering the relative costs and benefits of potential actions to choose the most appropriate one.9) Coordination -- Adjusting actions in relation to others' actions.","1) Mathematical Reasoning -- The ability to choose the right mathematical methods or formulas to solve a problem. 2) Inductive Reasoning -- The ability to combine pieces of information to form general rules or conclusions (includes finding a relationship among seemingly unrelated events).3) Deductive Reasoning -- The ability to apply general rules to specific problems to produce answers that make sense.4) Oral Expression -- The ability to communicate information and ideas in speaking so others will understand.5) Information Ordering -- The ability to arrange things or actions in a certain order or pattern according to a specific rule or set of rules (e.g., patterns of numbers, letters, words, pictures, mathematical operations). 6) Written Expression -- The ability to communicate information and ideas in writing so others will understand.7) Oral Comprehension -- The ability to listen to and understand information and ideas presented through spoken words and sentences.8) Written Comprehension -- The ability to read and understand information and ideas presented in writing.9) Problem Sensitivity -- The ability to tell when something is wrong or is likely to go wrong. It does not involve solving the problem, only recognizing there is a problem.",,
Acupuncturist,Provide treatment of symptoms and disorders using needles and small electrical currents. May provide massage treatment. May also provide preventive treatments.,"1) Formulate herbal preparations to treat conditions considering herbal properties such as taste, toxicity, effects of preparation, contraindications, and incompatibilities.2) Maintain and follow standard quality, safety, environmental and infection control policies and procedures. 3) Maintain detailed and complete records of health care plans and prognoses.4) Adhere to local, state and federal laws, regulations and statutes.5) Assess patients' general physical appearance to make diagnoses. 6) Collect medical histories and general health and life style information from patients.7) Dispense herbal formulas and inform patients of dosages and frequencies, treatment duration, possible side effects and drug interactions.8) Consider Western medical procedures in health assessment, health care team communication, and care referrals. 9) Treat patients using tools such as needles, cups, ear balls, seeds, pellets, and nutritional supplements.10) Educate patients on topics such as meditation, ergonomics, stretching, exercise, nutrition, the healing process, breathing, and relaxation techniques.11) Evaluate treatment outcomes and recommend new or altered treatments as necessary to further promote, restore, or maintain health.","1) Getting Information -- Observing, receiving, and otherwise obtaining information from all relevant sources. 2) Assisting and Caring for Others -- Providing personal assistance, medical attention, emotional support, or other personal care to others such as coworkers, customers, or patients.3) Making Decisions and Solving Problems -- Analyzing information and evaluating results to choose the best solution and solve problems.4) Identifying Objects, Actions, and Events -- Identifying information by categorizing, estimating, recognizing differences or similarities, and detecting changes in circumstances or events.5) Establishing and Maintaining Interpersonal Relationships -- Developing constructive and cooperative working relationships with others, and maintaining them over time. 6) Performing for or Working Directly with the Public -- Performing for people or dealing directly with the public. This includes serving customers in restaurants and stores, and receiving clients or guests.7) Documenting/Recording Information -- Entering, transcribing, recording, storing, or maintaining information in written or electronic/magnetic form.8) Monitor Processes, Materials, or Surroundings -- Monitoring and reviewing information from materials, events, or the environment, to detect or assess problems.9) Thinking Creatively -- Developing, designing, or creating new applications, ideas, relationships, systems, or products, including artistic contributions.","1) Active Listening -- Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. 2) Critical Thinking -- Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems.3) Social Perceptiveness -- Being aware of others' reactions and understanding why they react as they do.4) Service Orientation -- Actively looking for ways to help people.5) Judgment and Decision Making -- Considering the relative costs and benefits of potential actions to choose the most appropriate one. 6) Speaking -- Talking to others to convey information effectively.7) Monitoring -- Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action.8) Reading Comprehension -- Understanding written sentences and paragraphs in work related documents.9) Writing -- Communicating effectively in writing as appropriate for the needs of the audience.","1) Inductive Reasoning -- The ability to combine pieces of information to form general rules or conclusions (includes finding a relationship among seemingly unrelated events). 2) Oral Comprehension -- The ability to listen to and understand information and ideas presented through spoken words and sentences.3) Deductive Reasoning -- The ability to apply general rules to specific problems to produce answers that make sense.4) Problem Sensitivity -- The ability to tell when something is wrong or is likely to go wrong. It does not involve solving the problem, only recognizing there is a problem.5) Near Vision -- The ability to see details at close range (within a few feet of the observer). 6) Speech Recognition -- The ability to identify and understand the speech of another person.7) Speech Clarity -- The ability to speak clearly so others can understand you.8) Written Comprehension -- The ability to read and understand information and ideas presented in writing.9) Oral Expression -- The ability to communicate information and ideas in speaking so others will understand.",,
